t fidelity1 fidelity2 fidelity3
1.197732199181108648e+01 3.651451669009918022e-01 3.651451668835646314e-01 3.651451668852577770e-01
1.207549676223576718e+01 2.930992499358334724e-01 2.930992499197402346e-01 2.930992499207346058e-01
1.217367153266044788e+01 2.272783423907946410e-01 2.272783423765740718e-01 2.272783423769609568e-01
1.227184630308512858e+01 1.701440360378395633e-01 1.701440360260535467e-01 1.701440360258646700e-01
1.237002107350981106e+01 1.239630022262389608e-01 1.239630022173400237e-01 1.239630022167290679e-01
1.246819584393449176e+01 9.071211238995385839e-02 9.071211238425722079e-02 9.071211238350836148e-02
1.256637061435917246e+01 7.198456052414591022e-02 7.198456052193025201e-02 7.198456052123271276e-02
1.266454538478385317e+01 6.890210492753764959e-02 6.890210492890797012e-02 6.890210492856328750e-02
1.276272015520853387e+01 8.203993267356322894e-02 8.203993267837458858e-02 8.203993267888859409e-02
1.286089492563321635e+01 1.113691565414618306e-01 1.113691565494996927e-01 1.113691565512358594e-01
1.295906969605789705e+01 1.562214145289959888e-01 1.562214145398664045e-01 1.562214145432203327e-01
1.305724446648257775e+01 2.152806085521989932e-01 2.152806085651872980e-01 2.152806085708254824e-01
1.315541923690725845e+01 2.866043984378682796e-01 2.866043984522015919e-01 2.866043984605935457e-01
1.325359400733193915e+01 3.676757920949974001e-01 3.676757921098298132e-01 3.676757921212771008e-01
1.335176877775662163e+01 4.554851551137646948e-01 4.554851551279737731e-01 4.554851551430387779e-01
1.344994354818130233e+01 5.466405702780687825e-01 5.466405702905866582e-01 5.466405703095746915e-01
1.354811831860598303e+01 6.375013739151763614e-01 6.375013739251125244e-01 6.375013739479218344e-01
1.364629308903066374e+01 7.243297994686920260e-01 7.243297994749627877e-01 7.243297995017548008e-01
1.374446785945534444e+01 8.034545271240574049e-01 8.034545271256776644e-01 8.034545271564609292e-01
1.384264262988002514e+01 8.714371598203295433e-01 8.714371598167073296e-01 8.714371598509171868e-01
1.394081740030470762e+01 9.252334381292655063e-01 9.252334381198122903e-01 9.252334381570604949e-01
1.403899217072938832e+01 9.623419576744467463e-01 9.623419576586985658e-01 9.623419576986278479e-01
1.413716694115406902e+01 9.809315026419412886e-01 9.809315026200130516e-01 9.809315026615940125e-01
1.423534171157874972e+01 9.799395840683671199e-01 9.799395840405392688e-01 9.799395840828245552e-01
1.433351648200343043e+01 9.591378106866299547e-01 9.591378106532262304e-01 9.591378106955940064e-01
1.443169125242811290e+01 9.191593837892089169e-01 9.191593837511617959e-01 9.191593837923699439e-01
1.452986602285279361e+01 8.614855502905757190e-01 8.614855502490768036e-01 8.614855502878591142e-01
1.462804079327747431e+01 7.883921818914794155e-01 7.883921818475583265e-01 7.883921818833177220e-01
