gt pop_n1 pop_n2 pop_n3 pop_n4
1.225221134900019271e+00 8.852695724190940973e-01 4.063027035495435646e-01 2.591289581749596782e-01 9.648822608925939903e-01
1.240929098167968148e+00 8.950900708165586694e-01 3.756476309761828114e-01 3.014330778448913728e-01 9.381445991244730109e-01
1.256637061435917246e+00 9.045206583765580399e-01 3.454837148549704806e-01 3.454968049748083359e-01 9.044977174549557741e-01
1.272345024703866123e+00 9.135520723590284664e-01 3.159300382811324748e-01 3.909328527796920305e-01 8.644722008759000431e-01
1.288052987971815222e+00 9.221752728179067882e-01 2.871039774009601642e-01 4.373380631920674722e-01 8.186993931723972606e-01
1.303760951239764099e+00 9.303818624822592920e-01 2.591167615094366883e-01 4.843003070843761027e-01 7.678991236898158323e-01
1.319468914507712975e+00 9.381638900397563097e-01 2.320800511331068683e-01 5.313986593007886672e-01 7.128747081293059784e-01
1.335176877775662074e+00 9.455133381647892188e-01 2.061000038083433128e-01 5.782207538786716672e-01 6.544935816457679856e-01
1.350884841043610951e+00 9.524231481987182057e-01 1.812804577572133258e-01 6.243484334420198456e-01 5.936763642779392391e-01
1.366592804311560050e+00 9.588864722792088680e-01 1.577206585427635421e-01 6.693728053272826051e-01 5.313846664730506042e-01
1.382300767579508927e+00 9.648968009919934863e-01 1.355116694055836513e-01 7.128917961893581623e-01 4.685949258087247493e-01
1.398008730847457803e+00 9.704483144198180478e-01 1.147391471452439693e-01 7.545216851451974627e-01 4.062966085428043050e-01
1.413716694115406902e+00 9.755355678673137687e-01 9.548754299390395384e-02 7.938954954218079285e-01 3.454804852461875186e-01
1.429424657383355779e+00 9.801535222788088086e-01 7.783240497484839038e-02 8.306588308662052889e-01 2.870990767380144359e-01
1.445132620651304878e+00 9.842975763449720583e-01 6.184290484767261675e-02 8.644875093464953197e-01 2.320739923343541622e-01
1.460840583919253755e+00 9.879637621493555510e-01 4.758359135496858378e-02 8.950805086630762020e-01 1.812773653415969410e-01
1.476548547187202631e+00 9.911483180735547460e-01 3.510903393185758892e-02 9.221669515456905053e-01 1.355057639950562332e-01
1.492256510455151730e+00 9.938481027584612493e-01 2.446926521773813701e-02 9.455059866110050448e-01 9.548370591385957340e-02
1.507964473723100829e+00 9.960605168774063767e-01 1.570634485593270374e-02 9.648908459090542733e-01 6.184017565960715779e-02
1.523672436991049706e+00 9.977833756003042787e-01 8.854785208475915784e-03 9.801487086319060626e-01 3.510630658370997997e-02
1.539380400258998582e+00 9.990149678872578543e-01 3.941494061190795734e-03 9.911450844707802021e-01 1.570449368684151414e-02
1.555088363526947459e+00 9.997540862854824573e-01 9.860453146253677064e-04 9.977817429290674056e-01 3.940608135369052731e-03
1.570796326794896558e+00 9.999999990515627823e-01 1.335661080219757249e-09 9.999999962928619590e-01 6.007217832147595701e-09
1.586504290062845657e+00 9.997524670278632453e-01 9.872410237533190032e-04 9.977801904256783372e-01 3.944756969155697318e-03
1.602212253330794534e+00 9.990117385202617051e-01 3.943868398350874535e-03 9.911418577787964868e-01 1.571312625382493763e-02
1.617920216598743410e+00 9.977785364293750847e-01 8.858359359361987762e-03 9.801438061802361101e-01 3.511899665659975328e-02
1.633628179866692287e+00 9.960540729257342241e-01 1.571128058060499572e-02 9.648839634058262726e-01 6.185704668466417144e-02
1.649336143134641386e+00 9.938400635782268511e-01 2.447557828758137322e-02 9.454976683761604495e-01 9.550426939581760366e-02
1.665044106402590485e+00 9.911386722699456753e-01 3.511670052614265791e-02 9.221571559139472019e-01 1.355301008006205843e-01
1.680752069670539361e+00 9.879525930555326241e-01 4.759234328255562696e-02 8.950690228797550940e-01 1.813032791333699933e-01
1.696460032938488238e+00 9.842849336143332240e-01 6.185387132432595275e-02 8.644748237287045445e-01 2.321037047126298103e-01
1.712167996206437115e+00 9.801393875676996936e-01 7.784390832780899161e-02 8.306459367222647217e-01 2.871283868128911565e-01
1.727875959474386214e+00 9.755199786691539643e-01 9.549986040021099520e-02 7.938823594936683659e-01 3.455096991335423473e-01
1.743583922742335313e+00 9.704312606472946801e-01 1.147528365974663928e-01 7.545121522895310573e-01 4.063269010197971820e-01
1.759291886010284189e+00 9.648782605440351379e-01 1.355259758220289934e-01 7.128821878649145294e-01 4.686187004827068181e-01
1.774999849278233066e+00 9.588664427740212215e-01 1.577380637279494069e-01 6.693635238621178374e-01 5.314084886062198088e-01
1.790707812546181943e+00 9.524017823055715981e-01 1.813004024313423779e-01 6.243385050522850532e-01 5.937066370425349016e-01
1.806415775814130820e+00 9.454906458653073997e-01 2.061209673493475947e-01 5.782131331630405713e-01 6.545222273416462233e-01
1.822123739082080141e+00 9.381398462087269241e-01 2.320988388644797951e-01 5.313883300210682226e-01 7.129024843346565277e-01
1.837831702350029017e+00 9.303566333594180948e-01 2.591339499989697703e-01 4.842903615917193427e-01 7.679250514637820935e-01
1.853539665617977894e+00 9.221486892803887336e-01 2.871211183685068447e-01 4.373275698201569139e-01 8.187233132670237445e-01
1.869247628885926771e+00 9.135241314045891015e-01 3.159494778732038212e-01 3.909225558974317449e-01 8.644953549653466851e-01
1.884955592153875648e+00 9.044914806709294375e-01 3.455018231778609894e-01 3.454843343895996899e-01 9.045191322352509333e-01
1.900663555421824968e+00 8.950596314642577100e-01 3.756670077386194406e-01 3.014218426457283551e-01 9.381621194911111683e-01
1.916371518689773845e+00 8.852378834848495526e-01 4.063195607679150889e-01 2.591199124671640375e-01 9.648956412586776610e-01
1.932079481957722500e+00 8.750359291919678206e-01 4.373420050984122009e-01 2.189554025218009570e-01 9.842965687361726612e-01
1.947787445225671821e+00 8.644638466141898459e-01 4.686136075251809419e-01 1.812859444301554712e-01 9.960600166373525521e-01
1.963495408493620697e+00 8.535320978859777252e-01 5.000099494713595716e-01 1.464430838464634288e-01 9.999999905779095588e-01
