t fidelity9 fidelity25
9.424777960769378238e-01 9.543035580078165769e-02 9.999380074636112781e-01
9.503317777109124842e-01 8.204099180623003473e-02 9.983900828620163592e-01
9.581857593448869226e-01 6.958011798741091380e-02 9.937692689434409754e-01
9.660397409788612499e-01 5.807520390229210794e-02 9.861028839530318058e-01
9.738937226128359104e-01 4.755143675202795628e-02 9.754392714648955076e-01
9.817477042468103487e-01 3.803162188174329106e-02 9.618452550232630127e-01
9.896016858807848982e-01 2.953687981508019630e-02 9.454041996836389794e-01
9.974556675147593365e-01 2.208720905073215807e-02 9.262167066169791907e-01
1.005309649148733886e+00 1.569921128953844641e-02 9.044009311089640235e-01
1.013163630782708324e+00 1.038699886805245602e-02 8.800914636448979866e-01
1.021017612416682763e+00 6.162154458714291794e-03 8.534368952748616621e-01
1.028871594050657201e+00 3.033658722090089820e-03 8.246003368262326827e-01
1.036725575684631639e+00 1.007830532681481747e-03 7.937631248900826053e-01
1.044579557318606300e+00 8.962149427331304874e-05 7.611218905989819428e-01
1.052433538952580738e+00 2.815992714655106595e-04 7.268707960015878822e-01
1.060287520586555177e+00 1.583091401181191144e-03 6.912220248077436402e-01
1.068141502220529615e+00 3.990768159141524184e-03 6.543951399020875304e-01
1.075995483854504053e+00 7.499362039906651636e-03 6.166166508105855870e-01
1.083849465488478492e+00 1.210150164979649848e-02 5.781200052873107786e-01
1.091703447122453152e+00 1.778694094380633625e-02 5.391414031210183255e-01
1.099557428756427591e+00 2.454293469612252657e-02 4.999204593706707556e-01
1.107411410390402029e+00 3.235450251401671834e-02 4.606993829372694194e-01
1.115265392024376467e+00 4.120450977081194927e-02 4.217212056996014202e-01
1.123119373658351128e+00 5.107327901322533670e-02 3.832271786996532259e-01
1.130973355292325566e+00 6.193877518038157920e-02 3.454543399924165925e-01
1.138827336926300005e+00 7.377682370537005929e-02 3.086352552585609477e-01
1.146681318560274443e+00 8.656130002783966881e-02 2.729958724076931298e-01
1.154535300194248881e+00 1.002637519585800052e-01 2.387552164722335224e-01
1.162389281828223320e+00 1.148535972166697533e-01 2.061253692261392212e-01
1.170243263462197980e+00 1.302983555876260358e-01 1.753072705148060739e-01
1.178097245096172418e+00 1.465639680120778277e-01 1.464903623266304300e-01
1.185951226730146857e+00 1.636143445303620825e-01 1.198520454520332623e-01
1.193805208364121295e+00 1.814116117120103955e-01 9.555805725850521903e-02
1.201659189998095956e+00 1.999162438574741962e-01 7.375851635105842852e-02
1.209513171632070394e+00 2.190872814906794641e-01 5.458757129316134382e-02
1.217367153266044832e+00 2.388822187930412788e-01 3.816298573049949072e-02
1.225221134900019271e+00 2.592571576722911830e-01 2.458771513375588788e-02
1.233075116533993709e+00 2.801669077783042749e-01 1.394516356930569113e-02
1.240929098167968148e+00 3.015650843198341979e-01 6.299082349567041231e-03
1.248783079801942808e+00 3.234042042060514266e-01 1.693852774980375260e-03
1.256637061435917246e+00 3.456356915776328531e-01 1.608027545357258476e-04
1.264491043069891685e+00 3.682100654200402001e-01 1.709415597227450373e-03
1.272345024703866123e+00 3.910770551289822761e-01 6.329979121954589991e-03
1.280199006337840784e+00 4.141856833069140209e-01 1.399436497897686010e-02
1.288052987971815222e+00 4.374843739926834174e-01 2.465455834394560813e-02
1.295906969605789660e+00 4.609210634300655585e-01 3.824547886312731210e-02
1.303760951239764099e+00 4.844435555843155106e-01 5.468325639719657377e-02
1.311614932873738537e+00 5.079998655607204094e-01 7.386656307663003185e-02
1.319468914507712975e+00 5.315377615778982268e-01 9.567701731837414958e-02
1.327322896141687636e+00 5.550051741482543433e-01 1.199796806136180088e-01
1.335176877775662074e+00 5.783503586382886530e-01 1.466255926047253244e-01
1.343030859409636513e+00 6.015220554731057767e-01 1.754509256195977973e-01
1.350884841043610951e+00 6.244695130733824984e-01 2.062779590277281916e-01
1.358738822677585611e+00 6.471411170466190299e-01 2.389158925136896927e-01
1.366592804311560050e+00 6.694862684540914266e-01 2.731626448319096623e-01
1.374446785945534488e+00 6.914553484532004468e-01 3.088077316073736256e-01
1.382300767579508927e+00 7.129995358708848263e-01 3.456315540968066813e-01
1.390154749213483365e+00 7.340709113410873732e-01 3.834072151106849846e-01
1.398008730847457803e+00 7.546225607295516946e-01 4.219018174235755758e-01
1.405862712481432242e+00 7.746087980675130380e-01 4.608784193395044637e-01
1.413716694115406902e+00 7.939852955362587394e-01 5.000968449790880177e-01
1.421570675749381341e+00 8.127089929301314353e-01 5.393148547532409243e-01
1.429424657383355779e+00 8.307383065119893217e-01 5.782895943458347121e-01
1.437278639017330439e+00 8.480332393542457936e-01 6.167798916127232856e-01
1.445132620651304878e+00 8.645554911461452718e-01 6.545498491918945172e-01
1.452986602285279316e+00 8.802684995806463464e-01 6.913666522176381557e-01
1.460840583919253755e+00 8.951371010588440313e-01 7.270032300269737568e-01
1.468694565553228193e+00 9.091282170411120189e-01 7.612398205791566230e-01
1.476548547187202631e+00 9.222108250635195903e-01 7.938649039614429359e-01
1.484402528821177070e+00 9.343559823998138780e-01 8.246769264716624637e-01
1.492256510455151730e+00 9.455369112641541784e-01 8.534859966404342302e-01
1.500110492089126168e+00 9.557290820270625264e-01 8.801151409929985903e-01
1.507964473723100829e+00 9.649097585383912268e-01 9.044009051576842317e-01
1.515818455357075267e+00 9.730582174004965834e-01 9.261912402359301355e-01
1.523672436991049706e+00 9.801563297695757848e-01 9.453515260453616564e-01
