t fidelity1 fidelity2
1.315541923690725845e+01 3.032127955785298146e-01 3.032127955785298146e-01
1.325359400733193915e+01 3.939166269111761265e-01 3.939166269111761265e-01
1.335176877775662163e+01 4.891043473171305389e-01 4.891043473171305389e-01
1.344994354818130233e+01 5.851237158760242973e-01 5.851237158760242973e-01
1.354811831860598303e+01 6.782591340830730342e-01 6.782591340830730342e-01
1.364629308903066374e+01 7.648764751111963855e-01 7.648764751111963855e-01
1.374446785945534444e+01 8.415669948404379541e-01 8.415669948404379541e-01
1.384264262988002514e+01 9.052844637228046887e-01 9.052844637228046887e-01
1.394081740030470762e+01 9.534697796093454247e-01 9.534697796093454247e-01
1.403899217072938832e+01 9.841576992837643978e-01 9.841576992837643978e-01
1.413716694115406902e+01 9.960609534976190282e-01 9.960609534976190282e-01
1.423534171157874972e+01 9.886278668202150843e-01 9.886278668202150843e-01
1.433351648200343043e+01 9.620706573013709795e-01 9.620706573013709795e-01
1.443169125242811290e+01 9.173627983958917431e-01 9.173627983958917431e-01
1.452986602285279361e+01 8.562051342244854091e-01 8.562051342244854091e-01
1.462804079327747431e+01 7.809617897623971627e-01 7.809617897623971627e-01
1.472621556370215501e+01 6.945682469216376553e-01 6.945682469216376553e-01
1.482439033412683571e+01 6.004152021799394889e-01 6.004152021799394889e-01
1.492256510455151641e+01 5.022129206950637359e-01 5.022129206950637359e-01
1.502073987497619889e+01 4.038417011015387192e-01 4.038417011015387192e-01
1.511891464540087959e+01 3.091947188698945248e-01 3.091947188698945248e-01
1.521708941582556029e+01 2.220198902805343710e-01 2.220198902805343710e-01
1.531526418625024100e+01 1.457674733423823810e-01 1.457674733423823810e-01
1.541343895667492170e+01 8.344989075600706130e-02 8.344989075600706130e-02
1.551161372709960418e+01 3.751973286190492946e-02 3.751973286190492946e-02
1.560978849752428488e+01 9.771099793305735443e-03 9.771099793305735443e-03
1.570796326794896558e+01 1.268409707366346560e-03 1.268409707366346560e-03
1.580613803837364628e+01 1.230558354366768740e-02 1.230558354366768740e-02
1.590431280879832698e+01 4.239717480378805969e-02 4.239717480378805969e-02
1.600248757922300769e+01 9.030160981938600839e-02 9.030160981938600839e-02
1.610066234964768839e+01 1.540753068382828550e-01 1.540753068382828550e-01
1.619883712007236909e+01 2.311551169402838446e-01 2.311551169402838446e-01
1.629701189049705334e+01 3.184653377581653233e-01 3.184653377581653233e-01
1.639518666092173405e+01 4.125445460561104616e-01 4.125445460561104616e-01
1.649336143134641475e+01 5.096867209164990253e-01 5.096867209164990253e-01
1.659153620177109545e+01 6.060906167166197900e-01 6.060906167166197900e-01
1.668971097219577615e+01 6.980111116085181422e-01 6.980111116085181422e-01
1.678788574262045685e+01 7.819063059317550302e-01 7.819063059317550302e-01
1.688606051304513755e+01 8.545744649645712343e-01 8.545744649645712343e-01
1.698423528346981826e+01 9.132754677752473738e-01 9.132754677752473738e-01
1.708241005389449896e+01 9.558322035998053634e-01 9.558322035998053634e-01
1.718058482431917966e+01 9.807083052088733099e-01 9.807083052088733099e-01
1.727875959474386036e+01 9.870596750803758423e-01 9.870596750803758423e-01
1.737693436516854462e+01 9.747583916620421451e-01 9.747583916620421451e-01
1.747510913559322532e+01 9.443887262398542592e-01 9.443887262398542592e-01
1.757328390601790602e+01 8.972161052765708078e-01 8.972161052765708078e-01
1.767145867644258672e+01 8.351308731105399064e-01 8.351308731105399064e-01
1.776963344686726742e+01 7.605696074147559882e-01 7.605696074147559882e-01
1.786780821729194813e+01 6.764174853061782899e-01 6.764174853061782899e-01
1.796598298771662883e+01 5.858957714543637785e-01 5.858957714543637785e-01
1.806415775814130953e+01 4.924388905933942406e-01 4.924388905933942406e-01
1.816233252856599023e+01 3.995657542822486641e-01 3.995657542822486641e-01
1.826050729899067093e+01 3.107500425324228321e-01 3.107500425324228321e-01
1.835868206941535519e+01 2.292940087017850959e-01 2.292940087017850959e-01
1.845685683984003589e+01 1.582100995474659821e-01 1.582100995474659821e-01
1.855503161026471659e+01 1.001142834659283359e-01 1.001142834659283359e-01
1.865320638068939729e+01 5.713448211234503638e-02 5.713448211234503638e-02
