gt pop_n1 pop_n2 pop_mixed
2.026327261565416649e+00 8.064289944390183873e-01 8.064037509602115517e-01 8.064409474648321918e-01
2.042035224833365525e+00 7.938673247883973882e-01 7.938413771247254669e-01 7.938797830574577663e-01
2.057743188101314402e+00 7.810156514418997720e-01 7.809885663519273713e-01 7.810285249697266341e-01
2.073451151369263279e+00 7.678866334963582174e-01 7.678584516936172166e-01 7.678997257318567193e-01
2.089159114637212600e+00 7.544932196709192018e-01 7.544656397560983718e-01 7.545062361668898321e-01
2.104867077905161477e+00 7.408486295700168478e-01 7.408201023839275923e-01 7.408622763974211933e-01
2.120575041173110353e+00 7.269663515271970189e-01 7.269368879094891822e-01 7.269796772160925791e-01
2.136283004441059230e+00 7.128601096118778457e-01 7.128297360472216626e-01 7.128735302129531881e-01
2.151990967709008107e+00 6.985437931676310441e-01 6.985110980597931674e-01 6.985581181764247694e-01
2.167698930976956984e+00 6.840315161036543135e-01 6.839987132119239588e-01 6.840459150562070434e-01
2.183406894244906304e+00 6.693375992405541375e-01 6.693038853807325994e-01 6.693515914461731775e-01
2.199114857512855181e+00 6.544765539771554286e-01 6.544421147484298373e-01 6.544916236751439076e-01
2.214822820780804058e+00 6.394630902065889799e-01 6.394268527054703943e-01 6.394783158721277783e-01
2.230530784048752935e+00 6.243119994364507708e-01 6.242759354931943783e-01 6.243279858157727569e-01
2.246238747316702256e+00 6.090382108713721099e-01 6.090012468247661959e-01 6.090549204919583071e-01
2.261946710584651132e+00 5.936567924251887618e-01 5.936182619049062970e-01 5.936731577242470026e-01
2.277654673852600009e+00 5.781829282900203815e-01 5.781443628022099324e-01 5.781988524372686511e-01
2.293362637120548886e+00 5.626319265060606423e-01 5.625928621567488630e-01 5.626485770703530953e-01
2.309070600388497763e+00 5.470191393762708909e-01 5.469778168315224676e-01 5.470367846393274780e-01
2.324778563656446639e+00 5.313599415098678724e-01 5.313180284534999576e-01 5.313773431925923330e-01
2.340486526924395960e+00 5.156697752617618313e-01 5.156284948026564896e-01 5.156869694265253656e-01
2.356194490192344837e+00 4.999641267600232197e-01 4.999227976653764505e-01 4.999820765022988667e-01
2.371902453460293714e+00 4.842585151190249571e-01 4.842160934265791750e-01 4.842757627008699717e-01
2.387610416728242591e+00 4.685684766493167785e-01 4.685278062283662059e-01 4.685855358600394260e-01
2.403318379996191911e+00 4.529094607754082791e-01 4.528673772907488848e-01 4.529258069832472478e-01
2.419026343264140788e+00 4.372969023944508482e-01 4.372540794324917823e-01 4.373130944855806446e-01
2.434734306532089665e+00 4.217462071741023832e-01 4.217027732186957589e-01 4.217639687408749061e-01
2.450442269800038542e+00 4.062727295089219037e-01 4.062295045971133223e-01 4.062904230017926888e-01
2.466150233067987418e+00 3.908917853963075340e-01 3.908513328053657698e-01 3.909091916332744221e-01
2.481858196335936295e+00 3.756185370285997638e-01 3.755771073136667804e-01 3.756354028743270623e-01
2.497566159603885616e+00 3.604680302364654532e-01 3.604292225912785197e-01 3.604856350525619257e-01
2.513274122871834493e+00 3.454552098365463175e-01 3.454156509910216166e-01 3.454729391995918220e-01
2.528982086139783370e+00 3.305948958704945650e-01 3.305551349621059787e-01 3.306126074779122681e-01
2.544690049407732246e+00 3.159017819193848386e-01 3.158617833215722759e-01 3.159186149047757963e-01
2.560398012675681567e+00 3.013903862750962337e-01 3.013503533370427423e-01 3.014074051637049001e-01
2.576105975943630444e+00 2.870749962106611264e-01 2.870373627152610352e-01 2.870921736728430096e-01
2.591813939211579321e+00 2.729697267931624483e-01 2.729319266262451027e-01 2.729860512385212656e-01
2.607521902479528197e+00 2.590884992998752634e-01 2.590524623708282959e-01 2.591044538369542405e-01
2.623229865747477074e+00 2.454450254589226055e-01 2.454089031050889769e-01 2.454612533380666206e-01
2.638937829015425951e+00 2.320528071498363654e-01 2.320172980133406448e-01 2.320698376063376478e-01
2.654645792283375272e+00 2.189250340922592741e-01 2.188893674594502570e-01 2.189415108943876531e-01
2.670353755551324149e+00 2.060746434201892185e-01 2.060410315814177606e-01 2.060910220317152541e-01
2.686061718819273025e+00 1.935143143678562383e-01 1.934817047123948974e-01 1.935304661760676170e-01
2.701769682087221902e+00 1.812564478285654257e-01 1.812235525413420645e-01 1.812712840825593252e-01
2.717477645355171223e+00 1.693131728304683170e-01 1.692806666640666868e-01 1.693280266658477862e-01
2.733185608623120100e+00 1.576962725307496371e-01 1.576645818441021474e-01 1.577110596922352004e-01
2.748893571891068976e+00 1.464171873894301035e-01 1.463862831105522955e-01 1.464315012790145532e-01
2.764601535159017853e+00 1.354870421790625445e-01 1.354570528615143821e-01 1.355012118798052390e-01
2.780309498426966730e+00 1.249166266549028986e-01 1.248877009979768166e-01 1.249298672400661891e-01
2.796017461694915607e+00 1.147163881529850993e-01 1.146881622466858208e-01 1.147292981237196252e-01
2.811725424962864484e+00 1.048964125388094776e-01 1.048689500292419863e-01 1.049089835154799200e-01
2.827433388230813804e+00 9.546636723890149223e-02 9.543965739261194015e-02 9.547870806979755209e-02
2.843141351498762681e+00 8.643554883026745295e-02 8.641004535928319130e-02 8.644733290834873130e-02
2.858849314766711558e+00 7.781287024216147763e-02 7.778863747970060638e-02 7.782446925715333363e-02
2.874557278034660879e+00 6.960684720347026788e-02 6.958348316089932317e-02 6.961779235585553727e-02
2.890265241302609756e+00 6.182560146762897113e-02 6.180300191922973724e-02 6.183612632472406528e-02
2.905973204570558632e+00 5.447679931823113525e-02 5.445518338356484384e-02 5.448689332670943186e-02
2.921681167838507509e+00 4.756768096424421333e-02 4.754754652696292772e-02 4.757703718845066043e-02
2.937389131106456386e+00 4.110506339586332547e-02 4.108618517462332004e-02 4.111379396523797553e-02
2.953097094374405263e+00 3.509532777465091541e-02 3.507761666131314904e-02 3.510346943232178774e-02
2.968805057642354139e+00 2.954441766740859704e-02 2.952791860812853039e-02 2.955206479222736993e-02
2.984513020910303460e+00 2.445781382747351865e-02 2.444283060316151598e-02 2.446472144005926164e-02
