t fidelity1
1.374446785945534488e+00 5.000439010185029343e-01
1.382300767579508927e+00 5.292277848775888138e-01
1.390154749213483365e+00 5.586503326693557092e-01
1.398008730847457803e+00 5.881722598472980401e-01
1.405862712481432242e+00 6.176535555690670920e-01
1.413716694115406902e+00 6.469547208001520389e-01
1.421570675749381341e+00 6.759330007263655293e-01
1.429424657383355779e+00 7.044423754824304940e-01
1.437278639017330439e+00 7.323357629110518463e-01
1.445132620651304878e+00 7.594764510739688834e-01
1.452986602285279316e+00 7.857357129850408572e-01
1.460840583919253755e+00 8.109918905358102226e-01
1.468694565553228193e+00 8.351156821575931311e-01
1.476548547187202631e+00 8.579806934779188321e-01
1.484402528821177070e+00 8.794648008804373251e-01
1.492256510455151730e+00 8.994633749850382554e-01
1.500110492089126168e+00 9.178786961479221684e-01
1.507964473723100829e+00 9.346205942421255131e-01
1.515818455357075267e+00 9.496009216754390803e-01
1.523672436991049706e+00 9.627412632075814658e-01
1.531526418625024144e+00 9.739737081555990272e-01
1.539380400258998582e+00 9.832424178590153385e-01
1.547234381892973021e+00 9.905016053473327808e-01
1.555088363526947459e+00 9.957142406565155923e-01
1.562942345160921898e+00 9.988528014921005393e-01
1.570796326794896558e+00 9.999001854361156960e-01
1.578650308428870996e+00 9.988512353374707775e-01
1.586504290062845657e+00 9.957117781409681179e-01
1.594358271696820095e+00 9.904984828147268550e-01
1.602212253330794534e+00 9.832377489935569814e-01
1.610066234964768972e+00 9.739664969902037672e-01
1.617920216598743410e+00 9.627318099217859748e-01
1.625774198232717849e+00 9.495908728796721432e-01
1.633628179866692287e+00 9.346102664272644134e-01
1.641482161500666725e+00 9.178662807191060313e-01
1.649336143134641386e+00 8.994451707224155879e-01
1.657190124768615824e+00 8.794422730538963284e-01
1.665044106402590485e+00 8.579591323813349213e-01
1.672898088036564923e+00 8.351023346047486973e-01
1.680752069670539361e+00 8.109837706858261663e-01
1.688606051304513800e+00 7.857246243849211886e-01
1.696460032938488238e+00 7.594531627123676243e-01
1.704314014572462677e+00 7.323032253379518908e-01
1.712167996206437115e+00 7.044088370800328791e-01
1.720021977840411553e+00 6.759066397374716706e-01
1.727875959474386214e+00 6.469351683544275478e-01
1.735729941108360652e+00 6.176370546197065270e-01
1.743583922742335313e+00 5.881552429766944146e-01
1.751437904376309751e+00 5.586327716205666816e-01
1.759291886010284189e+00 5.292115430006445465e-01
1.767145867644258628e+00 5.000323586673363074e-01
1.774999849278233066e+00 4.712322862170728044e-01
1.782853830912207505e+00 4.429427181403463587e-01
1.790707812546181943e+00 4.152891887050722541e-01
1.798561794180156381e+00 3.883973929834548255e-01
1.806415775814130820e+00 3.623924492569333133e-01
1.814269757448105480e+00 3.373964564509168151e-01
1.822123739082080141e+00 3.135165269377665487e-01
1.829977720716054579e+00 2.908493382070940769e-01
1.837831702350029017e+00 2.694817339105610166e-01
1.845685683984003456e+00 2.495016528131843991e-01
1.853539665617977894e+00 2.309888098865837125e-01
1.861393647251952332e+00 2.140145085900116428e-01
1.869247628885926771e+00 1.986349733205191315e-01
1.877101610519901209e+00 1.848975637514497783e-01
1.884955592153875648e+00 1.728406048698566400e-01
1.892809573787850308e+00 1.624958582907160831e-01
1.900663555421824968e+00 1.538843348967508795e-01
1.908517537055799407e+00 1.470153369415414524e-01
1.916371518689773845e+00 1.418881526869966991e-01
1.924225500323748284e+00 1.384932601043846190e-01
1.932079481957722500e+00 1.368116874957771567e-01
1.939933463591697160e+00 1.368151574556863703e-01
1.947787445225671821e+00 1.384666805325087957e-01
1.955641426859646037e+00 1.417192324670630554e-01
1.963495408493620697e+00 1.465156315854643787e-01
1.971349390127595136e+00 1.527922163683015644e-01
1.979203371761569796e+00 1.604808286276414586e-01
1.987057353395544013e+00 1.695053283855106063e-01
1.994911335029518673e+00 1.797792170396300127e-01
2.002765316663492889e+00 1.912097512164366853e-01
2.010619298297467772e+00 2.037011465069764049e-01
2.018473279931442210e+00 2.171532808868819886e-01
2.026327261565416649e+00 2.314653852461817651e-01
2.034181243199391087e+00 2.465358823191723392e-01
2.042035224833365525e+00 2.622499436109779758e-01
2.049889206467339964e+00 2.784834565980821020e-01
2.057743188101314402e+00 2.951240831522985442e-01
2.065597169735288841e+00 3.120691952163167637e-01
2.073451151369263279e+00 3.292072088497773330e-01
2.081305133003237717e+00 3.464183590723817208e-01
2.089159114637212600e+00 3.635892574950744249e-01
2.097013096271187038e+00 3.806156764892227318e-01
2.104867077905161477e+00 3.973944736386451071e-01
2.112721059539135915e+00 4.138220004100165439e-01
2.120575041173110353e+00 4.297993661904322971e-01
2.128429022807084792e+00 4.452340711498152803e-01
2.136283004441059230e+00 4.600391214221063452e-01
2.144136986075033668e+00 4.741361764529835043e-01
2.151990967709008107e+00 4.874553526013854499e-01
2.159844949342982545e+00 4.999264821229648659e-01
2.167698930976956984e+00 5.114814050026248449e-01
2.175552912610931866e+00 5.220679956143090550e-01
2.183406894244906304e+00 5.316492457280195261e-01
2.191260875878880743e+00 5.401896954427697350e-01
2.199114857512855181e+00 5.476564453475303296e-01
2.206968839146829620e+00 5.540311419461706466e-01
2.214822820780804058e+00 5.593037444605384323e-01
2.222676802414778496e+00 5.634706759176549840e-01
2.230530784048752935e+00 5.665377923269010463e-01
2.238384765682727373e+00 5.685197552387536435e-01
2.246238747316702256e+00 5.694388707441951913e-01
2.254092728950676694e+00 5.693253118239702815e-01
2.261946710584651132e+00 5.682167829275808213e-01
2.269800692218625571e+00 5.661595589270747020e-01
2.277654673852600009e+00 5.632094916762764303e-01
2.285508655486574447e+00 5.594256523544660631e-01
2.293362637120548886e+00 5.548627146579728775e-01
2.301216618754523324e+00 5.495985126373726937e-01
2.309070600388497763e+00 5.437070494420999101e-01
2.316924582022472201e+00 5.372707224501990231e-01
2.324778563656446639e+00 5.303740672420012014e-01
2.332632545290421522e+00 5.231054705635215241e-01
2.340486526924395960e+00 5.155555487025058614e-01
2.348340508558370399e+00 5.078167708522264290e-01
2.356194490192344837e+00 4.999828817565667993e-01
2.364048471826319275e+00 4.921486873579781207e-01
2.371902453460293714e+00 4.844090114766848032e-01
2.379756435094268152e+00 4.768581547954210409e-01
2.387610416728242591e+00 4.695892501302749711e-01
2.395464398362217029e+00 4.626936847219896842e-01
2.403318379996191911e+00 4.562594914766220366e-01
